"timestamp","sensor","pm10"
"2021-03-15T00:24:39.000Z",,"{""value"":843.56,""max"":846.86,""min"":837.61,""sd"":2.34}"
"2021-03-15T00:23:39.000Z",,"{""value"":846.34,""max"":846.86,""min"":844.54,""sd"":0.88}"
"2021-03-15T00:22:39.000Z",,"{""value"":845.82,""max"":849.17,""min"":844.54,""sd"":1.7}"
"2021-03-15T00:21:39.000Z",,"{""value"":855.23,""max"":860.72,""min"":849.17,""sd"":3.87}"
"2021-03-15T00:20:39.000Z",,"{""value"":870.89,""max"":878.05,""min"":861.88,""sd"":4.96}"
"2021-03-15T00:19:39.000Z",,"{""value"":880.71,""max"":881.52,""min"":879.21,""sd"":0.71}"
"2021-03-15T00:18:39.000Z",,"{""value"":877.82,""max"":880.36,""min"":875.74,""sd"":1.72}"
"2021-03-15T00:17:39.000Z",,"{""value"":880.08,""max"":884.99,""min"":876.9,""sd"":2.61}"
"2021-03-15T00:16:39.000Z",,"{""value"":889.72,""max"":890.76,""min"":886.14,""sd"":1.53}"
"2021-03-15T00:15:39.000Z",,"{""value"":892.61,""max"":894.23,""min"":890.76,""sd"":1.02}"
"2021-03-15T00:14:39.000Z",,"{""value"":888.22,""max"":891.92,""min"":886.14,""sd"":1.72}"
"2021-03-15T00:13:39.000Z",,"{""value"":889.44,""max"":894.23,""min"":887.3,""sd"":2.49}"
"2021-03-15T00:12:39.000Z",,"{""value"":894.92,""max"":895.39,""min"":894.23,""sd"":0.57}"
"2021-03-15T00:11:39.000Z",,"{""value"":896.54,""max"":901.16,""min"":894.23,""sd"":2.63}"
"2021-03-15T00:10:39.000Z",,"{""value"":910.7,""max"":916.19,""min"":902.32,""sd"":4.73}"
"2021-03-15T00:09:39.000Z",,"{""value"":916.53,""max"":917.34,""min"":915.03,""sd"":0.71}"
"2021-03-15T00:08:39.000Z",,"{""value"":923.29,""max"":927.74,""min"":918.5,""sd"":2.68}"
"2021-03-15T00:07:39.000Z",,"{""value"":931.21,""max"":932.36,""min"":928.9,""sd"":1.4}"
"2021-03-15T00:06:39.000Z",,"{""value"":932.71,""max"":935.83,""min"":931.21,""sd"":1.51}"
"2021-03-15T00:05:39.000Z",,"{""value"":941.66,""max"":949.69,""min"":0,""sd"":3.62}"
"2021-03-15T00:03:55.000Z",,"{""value"":942.41,""max"":943.92,""min"":940.45,""sd"":1.31}"
"2021-03-15T00:02:55.000Z",,"{""value"":938.49,""max"":940.45,""min"":935.83,""sd"":1.26}"
"2021-03-15T00:01:55.000Z",,"{""value"":935.02,""max"":935.83,""min"":933.52,""sd"":0.71}"
"2021-03-15T00:00:55.000Z",,"{""value"":935.08,""max"":935.83,""min"":934.67,""sd"":0.59}"
"2021-03-14T23:59:55.000Z",,"{""value"":933.4,""max"":934.67,""min"":932.36,""sd"":0.94}"
"2021-03-14T23:58:55.000Z",,"{""value"":932.71,""max"":933.52,""min"":932.36,""sd"":0.69}"
"2021-03-14T23:57:55.000Z",,"{""value"":930.46,""max"":932.36,""min"":926.58,""sd"":1.96}"
"2021-03-14T23:56:55.000Z",,"{""value"":927.16,""max"":927.74,""min"":926.58,""sd"":0.58}"
"2021-03-14T23:55:55.000Z",,"{""value"":925.43,""max"":926.58,""min"":924.27,""sd"":0.6}"
"2021-03-14T23:54:55.000Z",,"{""value"":921.62,""max"":925.43,""min"":918.5,""sd"":2.08}"
"2021-03-14T23:53:55.000Z",,"{""value"":917.4,""max"":918.5,""min"":916.19,""sd"":0.5}"
