"timestamp","sensor","pm10"
"2021-03-14T23:28:01.000Z",,"{""value"":1007.1,""max"":1008.02,""min"":1004.57,""sd"":1.15}"
"2021-03-14T23:27:01.000Z",,"{""value"":1006.87,""max"":1008.02,""min"":1005.72,""sd"":0.51}"
"2021-03-14T23:26:01.000Z",,"{""value"":1001.65,""max"":1005.72,""min"":996.54,""sd"":2.61}"
"2021-03-14T23:25:01.000Z",,"{""value"":993.21,""max"":996.54,""min"":990.8,""sd"":1.68}"
"2021-03-14T23:24:01.000Z",,"{""value"":989.66,""max"":989.66,""min"":989.66,""sd"":0}"
"2021-03-14T23:23:01.000Z",,"{""value"":993.33,""max"":994.25,""min"":989.66,""sd"":1.42}"
"2021-03-14T23:22:01.000Z",,"{""value"":997.75,""max"":999.98,""min"":994.25,""sd"":2.35}"
"2021-03-14T23:21:01.000Z",,"{""value"":998.15,""max"":999.98,""min"":996.54,""sd"":1.03}"
"2021-03-14T23:20:01.000Z",,"{""value"":993.9,""max"":995.39,""min"":991.95,""sd"":1.19}"
"2021-03-14T23:19:01.000Z",,"{""value"":992.53,""max"":994.25,""min"":990.8,""sd"":0.91}"
"2021-03-14T23:18:01.000Z",,"{""value"":995.97,""max"":997.69,""min"":993.1,""sd"":1.7}"
"2021-03-14T23:17:01.000Z",,"{""value"":998.66,""max"":1003.43,""min"":995.39,""sd"":2.7}"
"2021-03-14T23:16:01.000Z",,"{""value"":1001.65,""max"":1003.43,""min"":998.84,""sd"":1.23}"
"2021-03-14T23:15:01.000Z",,"{""value"":1008.3,""max"":1017.19,""min"":998.84,""sd"":5.87}"
"2021-03-14T23:14:01.000Z",,"{""value"":1023.05,""max"":1027.52,""min"":1018.34,""sd"":2.9}"
"2021-03-14T23:13:01.000Z",,"{""value"":1033.72,""max"":1038.99,""min"":1028.67,""sd"":3.57}"
"2021-03-14T23:12:01.000Z",,"{""value"":1045.54,""max"":1052.76,""min"":1040.14,""sd"":4.03}"
"2021-03-14T23:11:01.000Z",,"{""value"":1056.26,""max"":1058.5,""min"":1053.91,""sd"":1.34}"
"2021-03-14T23:10:01.000Z",,"{""value"":1064.07,""max"":1066.53,""min"":1059.65,""sd"":2.42}"
"2021-03-14T23:09:01.000Z",,"{""value"":1067.97,""max"":1068.83,""min"":1066.53,""sd"":0.91}"
"2021-03-14T23:08:01.000Z",,"{""value"":1071.01,""max"":1072.27,""min"":1068.83,""sd"":1.24}"
"2021-03-14T23:07:01.000Z",,"{""value"":1073.13,""max"":1073.42,""min"":1072.27,""sd"":0.54}"
"2021-03-14T23:06:01.000Z",,"{""value"":1071.75,""max"":1072.27,""min"":1069.97,""sd"":0.8}"
"2021-03-14T23:05:01.000Z",,"{""value"":1070.32,""max"":1071.12,""min"":1069.97,""sd"":0.61}"
"2021-03-14T23:04:01.000Z",,"{""value"":1070.26,""max"":1071.12,""min"":1069.97,""sd"":0.54}"
"2021-03-14T23:03:01.000Z",,"{""value"":1072.67,""max"":1074.56,""min"":1071.12,""sd"":1.15}"
"2021-03-14T23:02:01.000Z",,"{""value"":1078.47,""max"":1084.89,""min"":1073.42,""sd"":3.79}"
"2021-03-14T23:01:01.000Z",,"{""value"":1090.17,""max"":1092.92,""min"":1084.89,""sd"":2.18}"
"2021-03-14T23:00:01.000Z",,"{""value"":1095.05,""max"":1097.51,""min"":1092.92,""sd"":1.6}"
"2021-03-14T22:59:01.000Z",,"{""value"":1099.69,""max"":1103.25,""min"":1096.36,""sd"":2.06}"
"2021-03-14T22:58:01.000Z",,"{""value"":1111.22,""max"":1115.87,""min"":1104.4,""sd"":3.39}"
